DATAFLOW,LAST UPDATE,freq,reporter,product,indicators,TIME_PERIOD,OBS_VALUE
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,22292240,PRODVAL,2016,0
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,22292240,PRODVAL,2017,0
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,22292240,PRODVAL,2018,0
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,22292240,PRODVAL,2019,0
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,22292240,PRODVAL,2021,0
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,22292240,PRODVAL,2022,0
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,22292240,PRODVAL,2023,0
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,22292240,PRODVAL,2024,0
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,22292240,PRODQNT,2015,3245541
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,22292240,PRODQNT,2016,4688040
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,22292240,PRODQNT,2017,6311066
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,22292240,PRODQNT,2018,5893261
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,22292240,PRODQNT,2019,6319929
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,22292240,PRODQNT,2020,5959747
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,22292240,PRODQNT,2021,5989555
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,22292240,PRODQNT,2022,8018010
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,22292240,PRODQNT,2024,6085512
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,22292240,PRODVAL,2015,33159334
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,22292240,PRODVAL,2016,36354414
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,22292240,PRODVAL,2017,44412763
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,22292240,PRODVAL,2018,37785889
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,22292240,PRODVAL,2019,36881831
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,22292240,PRODVAL,2020,40226539
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,22292240,PRODVAL,2021,47124000
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,22292240,PRODVAL,2022,60209000
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,22292240,PRODVAL,2024,52045000
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EU27_2020,22292240,PRODQNT,2015,405601771
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EU27_2020,22292240,PRODQNT,2016,405463978
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EU27_2020,22292240,PRODQNT,2017,438847414
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EU27_2020,22292240,PRODQNT,2018,542800074
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EU27_2020,22292240,PRODQNT,2019,413578676
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EU27_2020,22292240,PRODQNT,2020,420000000
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EU27_2020,22292240,PRODQNT,2021,600000000
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EU27_2020,22292240,PRODQNT,2022,520000000
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EU27_2020,22292240,PRODQNT,2023,479212436
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EU27_2020,22292240,PRODQNT,2024,437889534
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EU27_2020,22292240,PRODVAL,2015,2214736030
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EU27_2020,22292240,PRODVAL,2016,1677781032
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EU27_2020,22292240,PRODVAL,2017,2191423575
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EU27_2020,22292240,PRODVAL,2018,2865925558
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EU27_2020,22292240,PRODVAL,2019,1611508710
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EU27_2020,22292240,PRODVAL,2020,1800000000
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EU27_2020,22292240,PRODVAL,2021,2500000000
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EU27_2020,22292240,PRODVAL,2022,2000000000
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EU27_2020,22292240,PRODVAL,2023,2500000000
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EU27_2020,22292240,PRODVAL,2024,2100000000
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,FI,22292240,PRODQNT,2015,43391054
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,FI,22292240,PRODQNT,2016,35661353
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,FI,22292240,PRODQNT,2017,32739862
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,FI,22292240,PRODQNT,2018,32331024
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,FI,22292240,PRODQNT,2019,36623308
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,FI,22292240,PRODQNT,2020,38938375
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,FI,22292240,PRODQNT,2021,38743539
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,FI,22292240,PRODQNT,2022,29733402
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,FI,22292240,PRODQNT,2023,23326676
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,FI,22292240,PRODQNT,2024,30226171
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,FI,22292240,PRODVAL,2015,175987022
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,FI,22292240,PRODVAL,2016,143078637
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,FI,22292240,PRODVAL,2017,142788641
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,FI,22292240,PRODVAL,2018,145422513
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,FI,22292240,PRODVAL,2019,157490430
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,FI,22292240,PRODVAL,2020,160136797
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,FI,22292240,PRODVAL,2021,164758000
