ticker,company,app_category,country,date,open,high,low,close,volume
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-02-12,347.4655,349.7943,346.0101,349.018,843165
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-02-13,350.1824,351.0556,346.8834,349.3091,1173038
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-02-16,349.3091,350.6675,347.3685,350.6675,962237
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-02-17,351.2497,358.3329,351.1527,358.2359,688810
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-02-18,359.0121,360.5646,356.9745,358.3329,654364
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-02-19,359.3032,361.3408,352.8992,357.2656,801188
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-02-20,358.3329,358.3329,352.9962,356.8774,1229452
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-02-23,356.4893,359.4002,354.9368,359.4002,894566
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-02-24,359.0121,363.7666,357.9448,362.8933,1206467
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-02-25,362.2141,362.7963,357.5567,358.1389,1264654
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-02-26,355.519,360.0795,351.6378,352.8022,970164
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-02-27,353.5784,359.2062,353.1903,356.1012,2173171
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-03-02,354.4517,354.4517,343.7784,352.123,1390697
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-03-03,348.3388,348.5329,341.6437,344.8457,1236547
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-03-04,347.3685,353.2873,345.816,348.1447,961103
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-03-05,346.4952,347.5626,340.0912,341.0615,1087503
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-03-06,334.7546,336.21,329.2238,331.0674,1339562
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-03-09,310.497,322.5287,306.2276,322.5287,2266833
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-03-10,326.507,329.709,324.0812,325.2456,1233077
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-03-11,322.6258,323.208,317.2891,320.2,1431167
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-03-12,321.0,322.6,316.6,318.2,1731703
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-03-13,317.3,324.2,316.0,320.7,1146844
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-03-16,322.0,323.5,317.4,322.3,778976
SAN.PA,Sanofi,Pharmaceuticals,France,2025-12-17,80.5,82.12,80.32,82.12,1928662
SAN.PA,Sanofi,Pharmaceuticals,France,2025-12-18,82.42,83.12,81.6,82.1,1980683
SAN.PA,Sanofi,Pharmaceuticals,France,2025-12-19,82.09,82.53,81.41,82.38,4888969
SAN.PA,Sanofi,Pharmaceuticals,France,2025-12-22,82.12,82.48,81.52,81.58,1973662
SAN.PA,Sanofi,Pharmaceuticals,France,2025-12-23,81.6,82.86,81.33,82.22,1998123
SAN.PA,Sanofi,Pharmaceuticals,France,2025-12-24,82.16,82.41,80.98,81.61,535668
SAN.PA,Sanofi,Pharmaceuticals,France,2025-12-29,82.07,82.7,81.98,82.24,1696247
SAN.PA,Sanofi,Pharmaceuticals,France,2025-12-30,82.48,83.19,82.23,83.0,1327869
SAN.PA,Sanofi,Pharmaceuticals,France,2025-12-31,82.99,83.15,82.62,82.72,599236
SAN.PA,Sanofi,Pharmaceuticals,France,2026-01-02,82.8,83.23,81.86,82.32,1185947
SAN.PA,Sanofi,Pharmaceuticals,France,2026-01-05,82.61,82.63,80.7,81.19,1296572
SAN.PA,Sanofi,Pharmaceuticals,France,2026-01-06,81.38,83.27,81.26,82.29,2315065
SAN.PA,Sanofi,Pharmaceuticals,France,2026-01-07,82.53,82.75,81.66,82.75,1470917
