ticker,company,app_category,country,quarter,quarter_end,metric,value,currency,period_type
SAN.PA,Sanofi,Pharmaceuticals,France,2025-Q3,2025-09-30,EBITDA,4198000000.0,EUR,quarterly
SAN.PA,Sanofi,Pharmaceuticals,France,2025-Q2,2025-06-30,EBITDA,1889000000.0,EUR,quarterly
SAN.PA,Sanofi,Pharmaceuticals,France,2025-Q1,2025-03-31,EBITDA,2770000000.0,EUR,quarterly
SAN.PA,Sanofi,Pharmaceuticals,France,2024-Q4,2024-12-31,EBITDA,563000000.0,EUR,quarterly
SAN.PA,Sanofi,Pharmaceuticals,France,2025-Q4,2025-12-31,Net Income,-801000000.0,EUR,quarterly
SAN.PA,Sanofi,Pharmaceuticals,France,2025-Q3,2025-09-30,Net Income,2802000000.0,EUR,quarterly
SAN.PA,Sanofi,Pharmaceuticals,France,2025-Q2,2025-06-30,Net Income,3940000000.0,EUR,quarterly
SAN.PA,Sanofi,Pharmaceuticals,France,2025-Q1,2025-03-31,Net Income,1872000000.0,EUR,quarterly
SAN.PA,Sanofi,Pharmaceuticals,France,2024-Q4,2024-12-31,Net Income,499000000.0,EUR,quarterly
SAN.PA,Sanofi,Pharmaceuticals,France,2025-Q4,2025-12-31,Total Revenue,12205000000.0,EUR,quarterly
SAN.PA,Sanofi,Pharmaceuticals,France,2025-Q3,2025-09-30,Total Revenue,13170000000.0,EUR,quarterly
SAN.PA,Sanofi,Pharmaceuticals,France,2025-Q2,2025-06-30,Total Revenue,10735000000.0,EUR,quarterly
SAN.PA,Sanofi,Pharmaceuticals,France,2025-Q1,2025-03-31,Total Revenue,10606000000.0,EUR,quarterly
SAN.PA,Sanofi,Pharmaceuticals,France,2024-Q4,2024-12-31,Total Revenue,7631000000.0,EUR,quarterly
NOVO-B.CO,Novo Nordisk,Pharmaceuticals,Denmark,2025-Q4,2025-12-31,EBITDA,37298000000.0,DKK,quarterly
NOVO-B.CO,Novo Nordisk,Pharmaceuticals,Denmark,2025-Q3,2025-09-30,EBITDA,31439000000.0,DKK,quarterly
NOVO-B.CO,Novo Nordisk,Pharmaceuticals,Denmark,2025-Q2,2025-06-30,EBITDA,43596000000.0,DKK,quarterly
NOVO-B.CO,Novo Nordisk,Pharmaceuticals,Denmark,2025-Q1,2025-03-31,EBITDA,46046000000.0,DKK,quarterly
NOVO-B.CO,Novo Nordisk,Pharmaceuticals,Denmark,2024-Q4,2024-12-31,EBITDA,45848000000.0,DKK,quarterly
NOVO-B.CO,Novo Nordisk,Pharmaceuticals,Denmark,2025-Q4,2025-12-31,Net Income,26891000000.0,DKK,quarterly
NOVO-B.CO,Novo Nordisk,Pharmaceuticals,Denmark,2025-Q3,2025-09-30,Net Income,20006000000.0,DKK,quarterly
NOVO-B.CO,Novo Nordisk,Pharmaceuticals,Denmark,2025-Q2,2025-06-30,Net Income,26503000000.0,DKK,quarterly
NOVO-B.CO,Novo Nordisk,Pharmaceuticals,Denmark,2025-Q1,2025-03-31,Net Income,29034000000.0,DKK,quarterly
NOVO-B.CO,Novo Nordisk,Pharmaceuticals,Denmark,2024-Q4,2024-12-31,Net Income,28230000000.0,DKK,quarterly
NOVO-B.CO,Novo Nordisk,Pharmaceuticals,Denmark,2025-Q4,2025-12-31,Total Revenue,79144000000.0,DKK,quarterly
NOVO-B.CO,Novo Nordisk,Pharmaceuticals,Denmark,2025-Q3,2025-09-30,Total Revenue,74976000000.0,DKK,quarterly
NOVO-B.CO,Novo Nordisk,Pharmaceuticals,Denmark,2025-Q2,2025-06-30,Total Revenue,76857000000.0,DKK,quarterly
NOVO-B.CO,Novo Nordisk,Pharmaceuticals,Denmark,2025-Q1,2025-03-31,Total Revenue,78087000000.0,DKK,quarterly
NOVO-B.CO,Novo Nordisk,Pharmaceuticals,Denmark,2024-Q4,2024-12-31,Total Revenue,85683000000.0,DKK,quarterly
TSCO.L,Tesco,Retail,UK,FY 2025,2025-02-28,EBITDA,4771000000.0,GBp,annual
TSCO.L,Tesco,Retail,UK,FY 2024,2024-02-29,EBITDA,4825000000.0,GBp,annual
TSCO.L,Tesco,Retail,UK,FY 2023,2023-02-28,EBITDA,3227000000.0,GBp,annual
TSCO.L,Tesco,Retail,UK,FY 2022,2022-02-28,EBITDA,4403000000.0,GBp,annual
TSCO.L,Tesco,Retail,UK,FY 2025,2025-02-28,Net Income,1626000000.0,GBp,annual
TSCO.L,Tesco,Retail,UK,FY 2024,2024-02-29,Net Income,1188000000.0,GBp,annual
TSCO.L,Tesco,Retail,UK,FY 2023,2023-02-28,Net Income,737000000.0,GBp,annual
TSCO.L,Tesco,Retail,UK,FY 2022,2022-02-28,Net Income,1481000000.0,GBp,annual
TSCO.L,Tesco,Retail,UK,FY 2025,2025-02-28,Total Revenue,69916000000.0,GBp,annual
